Stage	Objection	Solution 1	Solution 2	Solution 3	Solution 4	Solution 5	Solution 6	Solution 7	Solution 8
Stage 1 KO STRANKA RAZISKUJE	Trust issue, komu zaupati	Video testimonials od strank	20 years of experience... (numbers of trips organized, customers,..)	"Why Goolets" section or video on website / landing page	Show the human behind the brand... Brokers intro videos	Is this legit? How can a yacht this size be half the price of others?” sekcija na LP.. razložimo			
Stage 1 KO STRANKA RAZISKUJE	Paraliza pred odločanjem	PARALIZA PRED IZBIRO NAŠIH JAHT: Top 5 Picks for Families/Groups/Corporate Clients,... Curated, trusted shortlist with clear pricing and perks.	PARALIZA PRED IZBIRO AGENCIJE: Realni testimoniali, kjer stranka pove: "Zato sem izbral Goolets, ne XY" ; “Behind the scenes” video: kako dela Goolets ekipa ;  "“We’re not brokers. We’re trip architects.” - Reframe: “Če iščete samo posrednika, nas verjetno ne potrebujete. Če pa iščete tim, ki bo poskrbel, da vaša jahta ni samo lepa – ampak, da bo vaš dopust nepozaben… smo tukaj.”" ; "“We’re not brokers. We’re trip architects.” - Reframe: “Če iščete samo posrednika, nas verjetno ne potrebujete. Če pa iščete tim, ki bo poskrbel, da vaša jahta ni samo lepa – ampak, da bo vaš dopust nepozaben… smo tukaj.”"						
Stage 1 KO STRANKA RAZISKUJE	Kaj je fora z različnimi tipi jaht	Yacht Type Icons — Add to every listing: shows if it’s a gulet, classic motor yacht, explorer yacht, etc.	Visual Explainer Video: "Types of Yachts Explained in 90 Seconds"	Storytelling blok: “Zakaj je ta skupina izbrala gulet, ne superjahte?” in obratno...					
Stage 1 KO STRANKA RAZISKUJE	Is this really a yacht	“Superyacht vs Smart Yacht” Side-by-Side Video — Visually explains what makes a Goolets yacht special (chef, crew, jacuzzis, etc.).	Price/Value Breakdown — “This yacht: €80K. Traditional superyacht: €250K. What you really lose vs what you keep.”	Luxury Details Checklist on Every Yacht	“Smart Yachting Explained” Real yachts. Real luxury. Just smarter.				
Stage 1 KO STRANKA RAZISKUJE	Varnost destinacije	Highlight: Croatia is in EU, safe waters, stable government, English-speaking crews.	Hrvaška je tudi statistično ena najbolj varnih držav						
Stage 1 KO STRANKA RAZISKUJE	Isn't ready yet/curious	Remove “route anxiety” - Interactive Route Finder (web &amp; mobile) - Map with 5–7 proven Croatia / Greece / Turkey loops; show distance, signature bays, sample daily schedule; gate extended PDF with email.	Close knowledge gap - “Smart Yachting 101” micro-series (social media, blog) “Superyacht vs. Smart Yachting”, “How far can we sail daily?” / Hidden Yacht Destinations Most Brokers Won&#39;t Tell You About (Blog series/video content)	Social proof - videos 60-sec Destination Walkthroughs / Client Route Stories - Case studies of amazing yacht trips Goolets planned / Routes Our Clients Love	- Showcase successful trips without being salesy.	Lower commitment to chat - “Ask the Broker” WhatsApp widget / Rotate 3 FAQs weekly based on site-search terms so button feels proactive (“Yes, route-changes mid-week are possible—tap to ask how”).	Capture light intent - Itinerary Quiz (“Which route fits your group?”) / Typeform or on-site; feed answers straight into HubSpot for segmented nurture. Offer instant PDF + promise of a custom proposal within 24 h.	Retarget browsing traffic - Dynamic Route-Preview Ads (P-Max + Meta) / Sync product feed with route images; copy: “Your Dalmatian loop is still open for Aug ‘26, see the yacht options.”	
Stage 1 KO STRANKA RAZISKUJE	Reviews related objections	Surface trust quickly - Trust Wall on site header &amp; yacht pages / Pull live	Google ★★★★☆ badge, Trustpilot feed, and press logos into a sticky strip visible on scroll.	Make reviews relevant - relevant Filterable Review Hub (“Show me families of 10 in Croatia”) / Tag reviews by group type, route, season, budget. Include a “See itinerary” button that gates a PDF with email.	Prove authenticity - 3rd-Party Verified Badges / Link each review to its original Google / Facebook source; highlight date &amp; booking ID.	Multiply touchpoints - Video Testimonial Playlist (Reels, YT Shorts, LinkedIn) / 30–60 s clips: hook + pain solved + one surprising perk. Organise into playlists by route.	Build continual credibility - Public Responses to Every Review / Dedicated CX lead replies within 24 h; pin insightful replies in carousel posts.		
Stage 1 KO STRANKA RAZISKUJE	Too cheap	Anchor price perceptions - “Superyacht vs Smart-Yachting” Comparator (site; carousel / 2-column table: length, crew-to-guest ratio, toy list, cost pp; autoplay explainer reel on scroll.	De-risk low price - Transparent Cost-Per-Person Calculator / Pre-filled examples: “€90 000 ÷ 30 guests = €3 000 pp – same as a boutique hotel.” (exact Goolets blog stat).	Third-party proof - Press &amp; Accreditation Strip / Combine Forbes, CNN, Yacht Charter Fleet mentions + MYBA membership badge.	Boost quality cues - HD “Spec Sheets” &amp; 360° Tours gated by email / Include build year, refit date, chef pedigree, crew bios, maintenance logs.				
Stage 1 KO STRANKA RAZISKUJE	Who is the expert? Who can I ask?	Put a face to the brand - “Meet Your Broker” Hub – profile cards for every Goolets charter advisor (photo, languages, past charters, press quotes). / Add Calendly “15-min Route Clinic” button on each card; show their personal WhatsApp QR	Instant access to expertise - 1-to-1 Live Video Advisor Chat on yacht route pages / Float button only after 45 s on page (reduces spam); advisors use gimbals on board for live cabin walk-throughs.	Third-party endorsement - Verified Expert Badges (MYBA membership, RYA Yachtmaster, Michelin-trained chef credentials for staff) / Display under each expert’s name; link out to certification body.	Multi-channel outreach - Route-Specific Expert Email Series (“Your Croatia Advisor: Tajda”) / Use dynamic content to swap advisor based on the route the user viewed most	Low-friction Q&A - Smart-Yachting Live Chat (text) with escalation path to human / Train bot on FAQ; surface “Talk to Ana (Croatia specialist)” when bot confidence &lt; 0.6 confidence <0.6			
Stage 1 KO STRANKA RAZISKUJE	Is it better than a hotel or villa?	Anchor relative value - Hotel / Villa vs. Yacht + Cost-Per-Person Calculator / Auto-populate with three examples (family of 12, corporate 24, milestone 30). Gate full XLS with email.	Showcase mobile resort - Interactive “Floating-Resort” Tour (site + Instagram guide) / 360° hotspots labelled “gym”, “hammam”, “jacuzzi”. Overlay “Try this in a villa? → can’t” captions.	Highlight privacy & control - Dynamic Itinerary Mock-Ups (Shows four bays in one day vs. being tied to one postcode.) / Add comparison row: “Neighbours at breakfast? 0 vs. 200 rooms surrounding you.”	Social proof side-by-side - Split-Screen Testimonial Reels (guest describing last villa vs. yacht week) / End with price overlay + “Ask for their exact route.”	Reinforce exclusivity - “Your Group Only” Badge on every yacht page / Repeat badge in retarget ads to brand the benefit.			
